XDUT.I0.I19\|XA0\|CE1_N (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|XA0\|CE1_N (subrange from 4.6e-06 to 4.74e-06) Y,XDUT.I0.I19\|CN\(12\) (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|CN\(12\) (subrange from 4.6e-06 to 4.74e-06) Y,XDUT.I0.I19\|XA20\|CK_B (subrange from 4.6e-06 to 4.74e-06) X,XDUT.I0.I19\|XA20\|CK_B (subrange from 4.6e-06 to 4.74e-06) Y
4.635198245860223e-06,-7.760607695672661e-05,4.635198245860223e-06,0.4899832904338837,4.635198245860223e-06,5.630065970763098e-06
4.6352e-06,-0.0004560059460345656,4.6352e-06,0.4899643659591675,4.6352e-06,-0.000159098781296052
4.635203366984466e-06,-0.001027318416163325,4.635203366984466e-06,0.4899015724658966,4.635203366984466e-06,-0.000428230210673064
4.635205002352635e-06,-0.002252754289656878,4.635205002352635e-06,0.4898681342601776,4.635205002352635e-06,-0.001144688227213919
4.635206607434608e-06,-0.002787850564345717,4.635206607434608e-06,0.489834189414978,4.635206607434608e-06,-0.001492295763455331
4.635209817598552e-06,-0.003253563772886992,4.635209817598552e-06,0.4897656738758087,4.635209817598552e-06,-0.001822419697418809
4.63521518823487e-06,-0.003877867013216019,4.63521518823487e-06,0.4896621704101562,4.63521518823487e-06,-0.002386378822848201
4.635220446481492e-06,-0.003987533040344715,4.635220446481492e-06,0.4895897209644318,4.635220446481492e-06,-0.002922353101894259
4.635225429350829e-06,-0.003051285166293383,4.635225429350829e-06,0.4895594120025635,4.635225429350829e-06,-0.002864608075469732
4.635230467868912e-06,-0.001372492755763233,4.635230467868912e-06,0.4895594120025635,4.635230467868912e-06,-0.002262644469738007
4.635237805047179e-06,0.0004090530273970217,4.635237805047179e-06,0.4895799458026886,4.635237805047179e-06,-0.001379076624289155
4.635244006059281e-06,0.001954129664227366,4.635244006059281e-06,0.4896005988121033,4.635244006059281e-06,-0.0002430865133646876
4.635250370408264e-06,0.002244583563879132,4.635250370408264e-06,0.4896226525306702,4.635250370408264e-06,0.0003872594388667494
4.63525830031693e-06,0.001993710407987237,4.63525830031693e-06,0.4896625876426697,4.63525830031693e-06,0.0007514695171266794
4.635266197576646e-06,0.00154503935482353,4.635266197576646e-06,0.4897217452526093,4.635266197576646e-06,0.000998995965346694
4.635272010577266e-06,0.001174357021227479,4.635272010577266e-06,0.4897745549678802,4.635272010577266e-06,0.001137268031015992
4.635278307103892e-06,0.0009535228018648922,4.635278307103892e-06,0.4898349046707153,4.635278307103892e-06,0.001181313884444535
4.635290278599264e-06,0.000750489707570523,4.635290278599264e-06,0.4899392127990723,4.635290278599264e-06,0.001176123740151525
4.635295890149765e-06,0.0004471203428693116,4.635295890149765e-06,0.4899788498878479,4.635295890149765e-06,0.001047054189257324
4.63530130250444e-06,0.0003362534625921398,4.63530130250444e-06,0.4900083243846893,4.63530130250444e-06,0.0009446257026866078
4.635306060742193e-06,0.0002427294966764748,4.635306060742193e-06,0.4900263547897339,4.635306060742193e-06,0.0008469169843010604
4.635310850914644e-06,0.0001700267748674378,4.635310850914644e-06,0.4900373518466949,4.635310850914644e-06,0.0007738298154436052
4.635316657931739e-06,0.0001064423195202835,4.635316657931739e-06,0.4900428652763367,4.635316657931739e-06,0.0007044269004836679
4.635321622246834e-06,4.426229133969173e-05,4.635321622246834e-06,0.4900423884391785,4.635321622246834e-06,0.0006148783140815794
4.635327357506834e-06,4.975413048668997e-06,4.635327357506834e-06,0.4900378286838531,4.635327357506834e-06,0.0005368065903894603
4.635335266180626e-06,-2.572795710875653e-05,4.635335266180626e-06,0.4900274872779846,4.635335266180626e-06,0.0004549473233055323
4.635348604547538e-06,-4.829257886740379e-05,4.635348604547538e-06,0.4900054633617401,4.635348604547538e-06,0.0003715443017426878
4.635363018572929e-06,-5.752719516749494e-05,4.635363018572929e-06,0.4899792373180389,4.635363018572929e-06,0.0003112734120804816
4.635374745559403e-06,-4.925171015202068e-05,4.635374745559403e-06,0.4899566769599915,4.635374745559403e-06,0.0003270166635047644
4.635377576167339e-06,-3.744344940059818e-05,4.635377576167339e-06,0.489950954914093,4.635377576167339e-06,0.0003732227778527886
4.635383237383209e-06,-3.445191396167502e-05,4.635383237383209e-06,0.4899386167526245,4.635383237383209e-06,0.0003873018431477249
4.635390318449568e-06,-2.893616510846186e-05,4.635390318449568e-06,0.4899209141731262,4.635390318449568e-06,0.0004144500999245793
4.635397777541638e-06,-2.300176856806502e-05,4.635397777541638e-06,0.489900141954422,4.635397777541638e-06,0.000443438533693552
4.635407172506456e-06,-1.79483431566041e-05,4.635407172506456e-06,0.4898728430271149,4.635407172506456e-06,0.0004655063676182181
4.635415462622082e-06,-1.291430817218497e-05,4.635415462622082e-06,0.4898487329483032,4.635415462622082e-06,0.0004779064911417663
4.635425113305733e-06,-9.204999514622614e-06,4.635425113305733e-06,0.4898211658000946,4.635425113305733e-06,0.0004728031344711781
4.635439480903153e-06,-5.457589850266231e-06,4.635439480903153e-06,0.4897811412811279,4.635439480903153e-06,0.0004469488048925996
